App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Just She - Top Lesbian Dating,6,1.9,953,19.0,100000,0,0.0,2,12,2018-07-18,6,5.0
Just She - Top Lesbian Dating,6,1.9,953,19.0,100000,0,0.0,2,12,2018-07-18,6,5.0
House party - live chat,6,1.0,1,9.2,10,0,0.0,2,12,2018-07-31,3,4.029999999999999
Just She - Top Lesbian Dating,6,1.9,954,19.0,100000,0,0.0,2,12,2018-07-18,6,5.0
C by GE,17,1.7,686,6.6,10000,0,0.0,0,22,2018-07-11,4,4.3
Speech Therapy: F,10,1.0,1,16.0,10,1,2.99,0,13,2016-10-07,1,2.33
G-Playlists,28,1.8,53,3.4,1000,1,1.49,0,39,2018-05-19,1,4.029999999999999
Q-Tech Companion App,12,1.8,17,3.1,10000,0,0.0,0,18,2017-03-08,1,4.4
W Box VMS,30,1.9,105,9.1,10000,0,0.0,0,42,2017-01-09,4,2.33
Smart-AC Universal Remote Free,10,1.8,3270,1.8,500000,0,0.0,0,15,2015-08-18,1,2.2
AC REMOTE UNIVERSAL-PRO,10,1.6,402,1.7,100000,0,0.0,0,15,2015-12-11,1,2.2
Kenmore Smart AC,17,1.9,71,24.0,5000,0,0.0,0,22,2017-05-08,1,4.4
A/C REFRIGERANT CAPACITY,3,1.7,84,2.1,10000,0,0.0,0,7,2014-10-28,1,4.1
ESS Mobile for AE,24,1.9,63,1.8,5000,0,0.0,0,30,2016-09-27,2,3.0
Clarksburg AH,19,1.0,1,28.0,50,0,0.0,0,24,2017-05-01,300000,4.029999999999999
A&W Restaurants,12,1.7,14,13.0,1000,0,0.0,0,18,2018-06-06,2,4.1
Loreal - BA Makeup,28,1.9,8,6.7,1000,0,0.0,0,39,2018-04-18,1,4.029999999999999
Truck Driving Test Class 3 BC,10,1.0,1,2.0,50,1,1.49,0,13,2012-04-09,1,2.1
BD Provider App,14,1.4,45,13.0,5000,0,0.0,0,19,2016-09-12,1,4.1
BG TV App,10,1.7,6,2.9,100,0,0.0,0,15,2017-12-21,1,4.1
BJ Bridge Standard American 2018,13,1.0,1,4.9,1000,0,0.0,0,8,2018-05-21,6,4.0
MbH BM,19,1.0,1,2.3,100,0,0.0,0,24,2016-12-14,1,4.3
Yuzu eReader,10,1.9,250,0.0,50000,0,0.0,0,13,2018-07-18,0,0.0
Wireless BP,19,1.8,30,0.887,500,0,0.0,0,24,2016-05-27,1,4.3
bp Magazine for Bipolar,17,1.8,5,18.0,1000,0,0.0,1,22,2018-02-12,26,4.1
Pick-a-Paint,17,1.6,242,36.0,50000,0,0.0,0,22,2018-05-14,1,3.0
BR Chat Bot,26,1.9,16,2.6,1000,0,0.0,0,36,2016-06-30,1,4.0
Boston University Alumni,10,1.8,5,5.2,1000,0,0.0,0,13,2017-12-02,4,4.4
Bitcoin BX Thailand PRO,11,1.7,21,21.0,100,1,4.99,0,17,2017-10-22,5,4.029999999999999
CB Mobile Access,11,1.5,57,25.0,1000,0,0.0,0,17,2018-02-26,4,4.2
CB Mobile Biz,11,1.0,3,8.4,500,0,0.0,0,17,2016-02-22,4,4.0
CF Climb,17,1.5,2,3.0,100,0,0.0,0,22,2018-06-07,3,2.3
Thistletown CI,24,1.0,1,6.6,100,0,0.0,0,30,2018-03-15,41,4.1
CJ Fallon eBook Reader,10,1.9,76,14.0,5000,0,0.0,0,13,2014-02-13,2,3.0
CJ DVD Rentals,5,1.0,5,13.0,100,0,0.0,0,11,2017-10-06,1,4.1
Co Checker,28,1.9,12,2.0,1000,0,0.0,0,39,2017-10-20,1,4.3
Co-op Connections,25,1.6,8,18.0,1000,0,0.0,0,34,2018-05-03,1,4.1
Hercules CP Mobile,28,1.4,20,4.1,1000,0,0.0,0,39,2018-07-06,2,4.3
CR Magazine,3,1.0,1,7.8,100,0,0.0,0,7,2014-07-23,2,2.33
Tech CU Card Manager,11,1.0,2,7.2,1000,0,0.0,0,17,2017-07-25,1,4.0
CW TV,20,1.7,367,6.1,50000,0,0.0,0,26,2018-03-02,1,4.0
DB Transport,18,1.9,179,10.0,10000,0,0.0,0,23,2018-03-13,3,4.1
Quiz DC,13,1.4,33,3.1,1000,0,0.0,0,41,2017-12-25,1,4.1
DS Creator 2.0,28,1.0,2,4.4,500,0,0.0,0,39,2018-03-23,2,4.0
DS-20000S,24,1.8,12,14.0,1000,0,0.0,0,30,2018-08-03,1,4.1
DT Smart,28,1.6,39,8.9,1000,0,0.0,0,39,2017-12-07,1,4.1
DT Baby Cam,28,1.7,10,23.0,500,0,0.0,0,39,2017-12-05,3,2.2
DT future1 cam,28,1.0,1,24.0,50,0,0.0,0,39,2018-03-27,3,2.2
EB Mobile,10,1.7,1172,5.6,10000,0,0.0,0,13,2017-10-09,1,4.1
Furrion ES Control,30,1.8,26,2.7,5000,0,0.0,0,42,2016-09-29,1,4.2
TAXLANDIA,10,1.9,141,65.0,1000,0,0.0,0,14,2018-03-06,1,4.3
EY TaxChat,11,1.2,44,27.0,1000,0,0.0,0,17,2018-04-09,3,6.0
FE Mechanical Engineering Prep,10,1.0,2,21.0,1000,0,0.0,0,13,2018-07-27,5,5.0
Familial Hypercholesterolaemia Handbook,19,1.0,2,33.0,100,0,0.0,0,24,2018-07-02,2,4.1
FK Atlantas,27,1.5,2,26.0,5,0,0.0,0,37,2018-02-21,1,4.1
Lottery Ticket Checker - Florida Results & Lotto,28,1.0,3,41.0,500,0,0.0,0,39,2017-12-12,1,4.2
Outdoor Movies BC,9,2.9,7,0.0,500,0,0.0,0,16,2018-06-22,0,4.4
DG Smart life,28,2.1,14,28.0,1000,0,0.0,0,39,2017-09-07,1,4.1
DS Connector 2.0,28,2.6,5,0.636,500,0,0.0,0,39,2018-03-23,2,4.2
Pint - FN Theme,22,2.5,6,0.234,100,0,0.0,0,28,2013-08-10,1,2.2
EF-myHR,11,2.9,26,36.0,1000,0,0.0,0,17,2018-02-21,1,4.0
CSCS BG (в български),10,2.4,7,2.1,100,1,3.99,0,13,2017-03-23,1,4.029999999999999
EZ Inspections,24,2.8,160,7.6,10000,0,0.0,0,30,2018-07-27,4,4.2
Truck Chat & CB for Truckers,18,2.7,89,2.3,10000,0,0.0,2,23,2018-07-31,1,4.029999999999999
EZ Pass,28,2.5,15,0.228,5000,0,0.0,0,39,2016-09-10,1,2.3
ClanHQ,5,2.7,560,37.0,10000,0,0.0,0,11,2018-07-25,1,4.4
DRC Sim - Wii U Gamepad,10,2.4,210,4.0,10000,0,0.0,0,9,2017-06-25,2,2.3
EliteSingles – Dating for Single Professionals,6,2.5,5377,19.0,500000,0,0.0,2,12,2018-07-31,4,4.029999999999999
W Box VMS HD,30,2.5,24,16.0,5000,0,0.0,0,42,2017-01-04,4,3.0
Break the Egg,10,2.6,366,6.0,50000,0,0.0,0,15,2018-01-05,1,4.0
Fossil Q,17,2.9,6627,18.0,500000,0,0.0,0,22,2018-08-01,2,4.4
FE Civil Engineering Exam Prep,10,2.8,9,21.0,1000,0,0.0,0,13,2018-07-27,5,5.0
bitcoin exchange bx thailand,11,2.9,19,2.2,5000,0,0.0,0,17,2017-06-26,1,4.4
BringGo AU & NZ,18,2.8,440,23.0,10000,1,0.99,0,23,2018-05-10,2,2.33
Free Coupons for Burger King,17,2.8,17,3.1,5000,0,0.0,0,22,2018-07-29,1,4.4
DM airdisk,28,2.8,11,11.0,1000,0,0.0,0,39,2016-08-05,1,3.0
REI Co-op Mastercard,11,2.9,320,23.0,10000,0,0.0,0,17,2018-06-14,2,4.4
Dagens Nyheter,20,2.5,2055,17.0,100000,0,0.0,0,26,2018-07-04,4,4.4
X-ray scanner simulator,10,2.7,1616,3.0,500000,0,0.0,0,9,2017-01-08,7,2.1
I am extremely Rich,17,2.9,41,2.9,1000,1,379.99,0,22,2018-07-01,1,4.0
fi,10,2.9,691,5.8,100000,0,0.0,0,38,2016-06-08,1,4.0
EZ-ELD Driver App (Free),1,2.1,83,4.8,5000,0,0.0,0,4,2018-07-29,1,4.3
FitConsole,14,2.6,219,1.8,50000,0,0.0,0,19,2015-10-30,v1,4.0
EG Retail,3,2.4,29,16.0,500,0,0.0,0,7,2018-07-05,2,4.1
Selfie DV,28,2.8,29,14.0,1000,0,0.0,0,39,2017-04-24,2,4.029999999999999
NissanConnect® EV & Services,17,2.3,853,88.0,50000,0,0.0,0,22,2018-07-20,6,4.4
Anthem Anywhere,19,2.7,2657,24.0,500000,0,0.0,0,24,2018-07-27,8,4.4
Advanced EX for RENAULT,28,2.8,130,0.143,5000,1,4.99,0,39,2015-03-14,1,1.6
BG Score,27,2.6,64,1.6,10000,0,0.0,0,37,2017-07-26,2,4.029999999999999
DQ Events,3,2.3,41,20.0,10000,0,0.0,0,7,2017-12-20,1,4.0
Patient Portal,19,2.8,66,1.2,50000,0,0.0,0,24,2016-10-25,1,4.029999999999999
HTC Sense Input-BG,28,2.7,198,2.8,100000,0,0.0,0,39,2014-04-22,9,4.1
TOSHIBA Smart AC,28,2.6,60,18.0,10000,0,0.0,0,39,2018-08-04,2,4.029999999999999
Q-See Plus,30,2.2,32,33.0,5000,0,0.0,0,42,2018-07-09,3,4.029999999999999
Sports DV,17,2.1,86,29.0,10000,0,0.0,0,22,2018-07-17,3,4.3
[verify-U] VideoIdent,5,2.9,83,13.0,10000,0,0.0,0,11,2018-04-26,2,5.0
InfantRisk Center HCP,19,2.6,41,14.0,1000,1,9.99,0,24,2015-05-06,1,2.33
Libre Scan (Diabetes:M addon),19,2.4,102,1.2,10000,0,0.0,0,24,2017-07-09,1,4.4
Calculator,6,2.6,57,6.2,1000,1,6.99,0,12,2017-10-25,1,4.0
EZ Display,24,2.9,280,1e-05,50000,0,0.0,0,30,2014-11-14,1,4.0
Bt Notifier -Smartwatch notice,28,2.8,632,8.2,500000,0,0.0,0,39,2017-05-23,1,6.0
EY Events,3,2.5,31,54.0,10000,0,0.0,0,7,2018-04-04,2,4.1
Ag PhD Soils,24,2.3,3,16.0,1000,0,0.0,0,30,2018-07-16,1,4.4
My BP Lab,14,2.6,186,25.0,10000,0,0.0,0,19,2018-05-19,1,8.0
J - Style Pro,14,2.3,74,2.6,10000,0,0.0,0,19,2016-01-20,1,4.3
Anthem BC Anywhere,19,2.6,496,24.0,100000,0,0.0,0,24,2018-07-27,8,4.4
CF Appreciation,17,2.0,11,6.2,1000,0,0.0,0,22,2018-06-12,2,4.1
DM EVOLUTION,13,2.5,450,97.0,10000,0,0.0,0,8,2018-07-23,2,4.1
bz Basel News,20,2.2,23,33.0,1000,0,0.0,0,26,2018-06-06,1,5.0
BlitzWolf Shutter - BW Shutter,23,2.9,333,1.8,50000,0,0.0,0,29,2017-11-22,1,4.0
App Seguridad AV Villas,11,2.3,251,5.7,50000,0,0.0,0,17,2017-10-12,1,4.0
Hi-Smart AC,28,2.2,32,9.4,1000,0,0.0,0,39,2018-04-03,1,4.4
Company Kitchen,17,2.8,81,7.7,10000,0,0.0,0,22,2018-03-06,2,2.33
DW Mobile,3,2.7,33,0.0,10000,0,0.0,0,7,2018-01-23,0,0.0
How Do I Look,23,2.7,3032,2.8,500000,0,0.0,0,29,2017-12-08,1,3.0
AZ REMOTE CONTROL,28,2.1,149,2.8,50000,0,0.0,0,39,2016-03-28,1,3.2
PLAYBULB X,17,2.9,2160,15.0,100000,0,0.0,0,22,2018-06-25,1,4.3
Check Lottery Tickets - Florida,10,2.0,27,31.0,5000,0,0.0,3,15,2017-10-17,2,4.029999999999999
BW App,17,2.8,48,12.0,5000,0,0.0,0,22,2017-09-27,2,4.0
FreedomPop Diagnostics,28,2.9,452,7.0,100000,0,0.0,0,39,2017-07-17,1,4.029999999999999
My Truck,28,2.5,247,8.2,10000,0,0.0,0,39,2017-03-15,1,4.2
CF SHOP!,17,2.8,88,43.0,10000,0,0.0,0,22,2018-06-30,1,4.4
Aster DM Healthcare,19,2.4,32,8.5,5000,0,0.0,0,24,2017-11-21,1,4.029999999999999
Feel Performer,5,2.2,62,34.0,10000,0,0.0,0,11,2018-04-09,2,4.1
BH by Kinomap,14,2.9,141,22.0,10000,0,0.0,0,19,2018-07-30,3,4.1
3D Holograms Joke,10,2.9,31596,31.0,5000000,0,0.0,3,35,2016-12-23,1,2.3
Svenska Dagbladet,20,2.6,820,0.0,100000,0,0.0,0,26,2018-02-13,0,0.0
Fisher-Price® Smart Connect™,28,2.7,422,72.0,50000,0,0.0,0,39,2018-02-23,2,4.4
SharedCare™ Co-parenting,21,2.0,23,0.0,100,1,4.59,0,27,2016-06-19,3,4.0
Candy simply-Fi,17,2.1,2390,35.0,100000,0,0.0,0,22,2018-07-17,1,4.4
5 Minute Veterinary Consult: Canine & Feline,19,2.3,17,6.8,1000,0,0.0,0,24,2018-03-29,2,4.2
VMAX IP Plus Mobile Client,3,2.0,9,3.4,1000,0,0.0,0,7,2017-06-09,1,2.3
B.GOOD,12,2.9,155,20.0,10000,0,0.0,0,18,2018-04-04,4,4.1
AJ Bell Youinvest,11,2.8,135,5.3,10000,0,0.0,0,17,2018-06-04,2,4.4
EURES - Your Job in Europe,3,2.7,358,2.0,50000,0,0.0,0,7,2017-09-18,1,2.33
Club Penguin Island,10,2.8,107441,32.0,1000000,0,0.0,0,9,2018-07-10,1,4.4
Bullshit! (Free),13,2.4,45,4.1,10000,0,0.0,3,8,2016-08-26,1,4.1
Brandon Lakes AH,19,2.6,5,27.0,100,0,0.0,0,24,2017-05-05,300000,4.029999999999999
CG Fit Scale,14,2.6,13,3.3,1000,0,0.0,0,19,2015-10-13,1,4.0
Interactive NPC DM Tool,10,2.8,5,0.629,50,1,0.99,0,33,2015-01-31,1,2.33
Run on Earth,14,2.4,577,3.7,50000,0,0.0,0,19,2018-04-25,1,4.0
Gold Teeth Photo Editor,23,2.8,1022,3.8,100000,0,0.0,0,29,2016-08-24,2,2.3
Z App,17,2.8,405,25.0,50000,0,0.0,0,22,2018-06-22,4,4.4
mobileRx Pharmacy,19,2.5,124,43.0,10000,0,0.0,0,24,2017-01-13,3,3.0
Adult Dirty Emojis,6,2.8,80,5.5,10000,0,0.0,3,12,2017-11-06,1,4.029999999999999
DT NO.I,14,2.4,44,49.0,1000,0,0.0,0,19,2018-08-01,V1,4.3
DM Me - Chat,26,2.9,90,30.0,10000,0,0.0,2,36,2018-07-09,1,4.029999999999999
AF Hydro,14,2.0,136,15.0,10000,0,0.0,0,19,2018-05-12,1,4.4
TNEB Bill Checker / TNEB Bill Status,11,2.5,2,5.0,1000,0,0.0,0,17,2018-03-03,2,4.029999999999999
PS4 Second Screen,10,2.4,11773,3.3,1000000,0,0.0,0,15,2018-06-13,18,4.1
Ai-Ball AV Recorder,23,2.7,90,4.0,5000,1,2.99,0,29,2017-10-19,13,2.33
First Hawaiian Bank Mobile,11,2.1,232,29.0,10000,0,0.0,0,17,2018-05-09,18,5.0
DN eAvis,20,2.9,61,4.1,10000,0,0.0,0,26,2017-02-01,2,4.1
EF Go Ahead Tour Companion,29,2.3,23,43.0,1000,0,0.0,0,40,2018-06-18,3,4.4
Turbo AI™ - Personal assistant,24,2.6,91,2.8,5000,0,0.0,0,30,2018-07-16,0,4.029999999999999
Thrive CF,14,2.2,6,8.0,100,0,0.0,0,19,2018-01-05,1,4.3
Bono’s Pit Bar-B-Q,10,2.3,3,36.0,1000,0,0.0,1,15,2018-01-23,2,2.33
Safe Wi-Fi,24,2.9,32,9.7,1000,0,0.0,0,30,2018-08-03,1,4.4
Bomb and Nade Timer for CS:GO,24,2.6,85,6.0,5000,0,0.0,0,30,2016-04-21,1,4.0
UM BP Track,19,2.0,1,29.0,50,0,0.0,0,24,2017-06-27,7,5.0
CJ Fitness,14,2.4,221,43.0,10000,0,0.0,0,19,2018-02-14,4,4.1
Live DV,23,2.0,16,17.0,1000,0,0.0,0,29,2018-05-09,1,4.4
SkyTest BU/GU Lite,3,2.9,28,20.0,500,1,17.99,0,7,2017-10-24,2,3.0
EI SmartMiles,11,2.4,9,3.8,1000,0,0.0,0,17,2018-01-21,1,4.0
Hungry Girl Diet Bk. Companion,14,2.2,4,28.0,1000,0,0.0,0,19,2018-02-01,1,4.0
CZ File Manager,28,2.2,876,8.7,1000000,0,0.0,0,39,2018-08-06,3,4.2
Anthem Anywhere,19,2.7,2657,24.0,500000,0,0.0,0,24,2018-07-27,8,4.4
DrivingTest,10,2.9,975,45.0,100000,0,0.0,0,35,2017-02-27,5,4.1
Ah! Coins,13,3.4,256,9.1,50000,0,0.0,0,0,2016-12-08,1,2.3
CT Lottery,10,3.8,271,8.3,50000,0,0.0,3,15,2017-06-12,1,4.0
Sci Fi Sounds,10,3.2,4,8.0,1000,0,0.0,0,15,2017-11-02,1,4.0
Fake Call From Wengie Prank,10,3.5,352,3.8,50000,0,0.0,0,15,2017-07-23,1,3.0
Bluetooth Control BT->uC FREE,28,3.8,67,2.7,10000,0,0.0,0,39,2016-06-06,1,3.0
Little Caesars,12,3.3,1726,30.0,500000,0,0.0,0,18,2018-07-19,4,4.4
"Izneo, Read Manga, Comics & BD",4,3.3,1476,18.0,500000,0,0.0,3,10,2018-06-11,7,4.0
AT&T U-verse,10,3.7,38606,96.0,1000000,0,0.0,0,15,2018-06-13,5,4.1
Nucleus Smart,19,3.7,20,19.0,1000,0,0.0,0,24,2018-06-27,1,5.0
DW Spectrum™ IP VMS,3,3.4,102,2.4,10000,0,0.0,0,7,2016-04-14,2,2.2
Elmo Calls by Sesame Street,10,3.9,6903,25.0,1000000,0,0.0,0,14,2018-01-31,2,2.3
Eye Transplant : ER Emergency Hospital,10,3.9,1938,62.0,1000000,0,0.0,3,14,2018-05-25,1,4.1
FL State Parks Guide,29,3.7,871,45.0,100000,0,0.0,0,40,2017-10-27,5,4.4
Ghost In Photo,23,3.9,28429,14.0,5000000,0,0.0,3,29,2018-03-16,2,2.3
DZ Fly Algérie Horaire Vols,29,3.6,114,10.0,10000,0,0.0,0,40,2016-10-31,2,4.0
DS video,30,3.8,12443,0.0,1000000,0,0.0,0,42,2018-08-06,0,0.0
EL NORTE,20,3.4,2436,0.0,100000,0,0.0,0,26,2018-06-26,0,0.0
DT-VR,10,3.8,25,9.5,1000,0,0.0,0,15,2016-08-09,1,2.2
Florida Tech Mobile,10,3.8,87,5.4,5000,0,0.0,0,13,2016-09-13,5,4.1
Barbie Life™,10,3.9,133117,63.0,5000000,0,0.0,0,9,2018-07-12,2,4.1
My EF,10,3.3,4114,14.0,100000,0,0.0,0,13,2018-07-10,3,4.2
Free Foreclosure Real Estate Search by USHUD.com,15,3.4,287,27.0,100000,0,0.0,0,20,2018-05-29,2,4.4
ChatBot AI Talking Girl,10,3.8,3597,25.0,100000,0,0.0,1,15,2018-07-31,1,4.029999999999999
Dr. 2048,10,3.9,1985,3.5,500000,0,0.0,0,31,2017-12-30,1,4.1
Transenger – Ts Dating and Chat for Free,6,3.6,8,14.0,1000,0,0.0,2,12,2018-07-29,1,4.4
WFLA News Channel 8 - Tampa FL,20,3.8,133,14.0,10000,0,0.0,0,26,2018-07-18,v4,5.0
Elkhart County 4-H Fair,10,3.9,38,42.0,5000,0,0.0,0,15,2018-04-06,5055,4.1
Fish|Hunt FL,17,3.6,853,34.0,100000,0,0.0,0,22,2018-03-22,3,4.1
ES Remote,10,3.3,707,15.0,100000,0,0.0,0,15,2014-11-20,2,2.3
The Grand Bike V,10,3.8,3478,95.0,1000000,0,0.0,0,35,2018-02-24,4,4.1
AL.com,20,3.4,803,8.0,50000,0,0.0,1,26,2018-07-23,3,4.1
Soccer FC,27,3.9,6289,33.0,1000000,0,0.0,0,37,2016-07-21,1,2.3
JH Blood Pressure Monitor,19,3.7,9,2.9,500,0,0.0,0,24,2018-07-21,1,4.029999999999999
